"source_lng","source","station","lng","lat"
"City of St. Pete","cosp","COSPE7-A2103",-82.61439,27.72073
"City of St. Pete","cosp","COSPE7-B2103",-82.62563,27.72276
"City of St. Pete","cosp","COSPE7-C2103",-82.62064,27.73329
"City of St. Pete","cosp","COSPE7-D2103",-82.61786,27.74488
"ESA","esa","Between Piney Pt and Cockroach Bay",-82.54671,27.67496
"ESA","esa","SBH1",-82.5662166666667,27.6063833333333
"ESA","esa","SBH2",-82.5602833333333,27.6096
"ESA","esa","SBH3",-82.5627333333333,27.6069166666667
"ESA","esa","SBH4",-82.5672166666667,27.6079166666667
"ESA","esa","SCRB1",-82.5178666666667,27.67635
"ESA","esa","SCRB2",-82.5041333333333,27.7063
"ESA","esa","SCRB3",-82.5062833333333,27.70465
"ESA","esa","SMB1",-82.6101,27.5693833333333
"ESA","esa","SMB2",-82.5967666666667,27.5746833333333
"ESA","esa","SMB3",-82.6065,27.5635166666667
"ESA","esa","SMR1",-82.6468333333333,27.5338
"ESA","esa","SPPC1",-82.5436166666667,27.6627
"ESA","esa","SPPC2",-82.5451333333333,27.6650833333333
"ESA","esa","STCB1",-82.6086833333333,27.5515666666667
"ESA","esa","STCB2",-82.6229666666667,27.5367
"ESA","esa","STCB3",-82.6055666666667,27.5412833333333
"ESA","esa","UF_jbysi",-82.59105,27.5918166666667
"ESA","esa","UF_sonde3",-82.5466833333333,27.6779166666667
"Florida DEP","fldep","P Port 1",-82.56319,27.63488
"Florida DEP","fldep","P Port 2",-82.55759,27.63105
"Florida DEP","fldep","P Port 3",-82.54427,27.63141
"Florida DEP","fldep","P Port 4",-82.53695,27.6454
"Florida DEP","fldep","Piney 1",-82.56516,27.64742
"Florida DEP","fldep","Piney 10",-82.629644,27.572583
"Florida DEP","fldep","Piney 11",-82.652494,27.576508
"Florida DEP","fldep","Piney 12",-82.644553,27.5431
"Florida DEP","fldep","Piney 13",-82.6717,27.552008
"Florida DEP","fldep","Piney 14",-82.666833,27.533
"Florida DEP","fldep","Piney 15",-82.70095,27.545808
"Florida DEP","fldep","Piney 17",-82.5559,27.693399
"Florida DEP","fldep","Piney 18",-82.49677,27.682529
"Florida DEP","fldep","Piney 19",-82.5338,27.723801
"Florida DEP","fldep","Piney 2",-82.57845,27.64948
"Florida DEP","fldep","Piney 20",-82.4987,27.729
"Florida DEP","fldep","Piney 21",-82.5203,27.778
"Florida DEP","fldep","Piney 22",-82.4741,27.781299
"Florida DEP","fldep","Piney 23",-82.43873,27.7764
"Florida DEP","fldep","Piney 3",-82.5771,27.6434
"Florida DEP","fldep","Piney 4",-82.5653,27.6358
"Florida DEP","fldep","Piney 5",-82.59193,27.62852
"Florida DEP","fldep","Piney 6",-82.5915,27.626
"Florida DEP","fldep","Piney 7",-82.563904,27.6625
"Florida DEP","fldep","Piney 8",-82.577642,27.612975
"Florida DEP","fldep","Piney 9",-82.601167,27.605986
"Hillsborough Co.","epchc","16",-82.533798,27.723801
"Hillsborough Co.","epchc","19",-82.555901,27.693399
"Hillsborough Co.","epchc","21",-82.563904,27.6625
"Hillsborough Co.","epchc","21PP01s",-82.531517,27.6933
"Hillsborough Co.","epchc","21PP02s",-82.525967,27.689117
"Hillsborough Co.","epchc","21PP03s",-82.547217,27.663917
"Hillsborough Co.","epchc","21PP04s",-82.55575,27.650017
"Hillsborough Co.","epchc","21PP05s",-82.57405,27.615783
"Hillsborough Co.","epchc","21PP06s",-82.56285,27.60555
"Hillsborough Co.","epchc","21PP07s",-82.575533,27.607367
"Hillsborough Co.","epchc","21PP09s",-82.617617,27.5754
"Hillsborough Co.","epchc","21PP10s",-82.63065,27.57935
"Hillsborough Co.","epchc","21PP20s",-82.59205,27.59725
"Hillsborough Co.","epchc","22",-82.571198,27.608101
"Hillsborough Co.","epchc","23",-82.599197,27.666
"Hillsborough Co.","epchc","24",-82.619301,27.5884
"Hillsborough Co.","epchc","25",-82.6679,27.662701
"Hillsborough Co.","epchc","28",-82.6092,27.708401
"Hillsborough Co.","epchc","82",-82.5718,27.751101
"Hillsborough Co.","epchc","84",-82.498703,27.729
"Hillsborough Co.","epchc","90",-82.591499,27.625999
"Hillsborough Co.","epchc","91",-82.641502,27.627899
"Hillsborough Co.","epchc","92",-82.686798,27.5737
"Hillsborough Co.","epchc","93",-82.744102,27.578899
"Hillsborough Co.","epchc","94",-82.783203,27.610001
"Hillsborough Co.","epchc","95",-82.694702,27.6112
"Hillsborough Co.","epchc","96",-82.691002,27.6378
"Hillsborough Co.","epchc","BP01",-82.515124,27.6966468
